year, anomaly
1.791692307692307622e+03, -8.519999999999999796e-01
1.791769230769230717e+03, -1.391999999999999904e+00
1.791846153846153811e+03, 4.779999999999999805e-01
1.791923076923076906e+03, 2.889999999999999791e-01
1.792076923076923094e+03, -2.443999999999999950e+00
1.792153846153846189e+03, 6.410000000000000142e-01
1.792230769230769283e+03, -5.789999999999999591e-01
1.792307692307692378e+03, -6.350000000000000089e-01
1.792384615384615472e+03, 3.059999999999999942e-01
1.792461538461538566e+03, 7.059999999999999609e-01
1.792538461538461434e+03, -2.500000000000000139e-02
1.792615384615384528e+03, -1.493000000000000105e+00
1.792692307692307622e+03, 4.620000000000000218e-01
